35,소문난떡볶이,분식,떡볶이전문,"인천광역시 남구 경인남길30번길 38",2,126.6564729,37.45179243,1,2015-09-01,NULL,NULL,NULL,NULL
36,영종식당,한식,갈비/삼겹살,"인천광역시 남구 인하로 63-1",2,126.6554578,37.45167276,1,2019-09-01,NULL,NULL,NULL,NULL
37,최진사,한식,한식/백반/한정식,"인천광역시 남구 한나루로489번길 8",1,126.6666748,37.45072763,1,2015-09-01,NULL,NULL,NULL,NULL
38,편의점식세계맥주전문점맥주창고III,유흥주점,호프/맥주,"인천광역시 남구 인하로77번길 12",1,126.6572908,37.45155845,1,2019-09-01,NULL,NULL,NULL,NULL
39,연꽃마을식당,한식,한식/백반/한정식,"인천광역시 남구 인하로91번길 4",2,126.6585221,37.45095973,1,2015-09-01,NULL,NULL,NULL,NULL
40,혜원식당,한식,한식/백반/한정식,"인천광역시 남구 인하로 170-3",1,126.6668339,37.44876517,1,2015-09-01,NULL,NULL,NULL,NULL
41,복가반점,중식,중국음식/중국집,"인천광역시 남구 인하로105번길 27",1,126.6602514,37.45158304,1,2015-09-01,NULL,NULL,NULL,NULL
42,엠팜,한식,한식/백반/한정식,"인천광역시 남구 인하로47번길 48",NULL,126.6564251,37.45256678,1,2019-09-01,NULL,NULL,NULL,NULL
43,윤가네칼국수,분식,국수/만두/칼국수,"인천광역시 남구 한나루로477번길 50",1,126.6645063,37.45000935,1,2019-09-01,NULL,NULL,NULL,NULL
44,인하왕통닭,닭/오리요리,후라이드/양념치킨,"인천광역시 남구 인하로 77",NULL,126.6568998,37.45130172,1,2019-09-01,NULL,NULL,NULL,NULL
45,광명식당,음식배달서비스,국/찌개배달,"인천광역시 남구 경인남길30번길 42",NULL,126.6567113,37.45173207,1,2019-09-01,NULL,NULL,NULL,NULL
46,A.SALAMRESTAURANT,양식,정통양식/경양식,"인천광역시 남구 인하로77번길 35",NULL,126.6575299,37.4527235,1,2019-09-01,NULL,NULL,NULL,NULL
47,해리피아,유흥주점,호프/맥주,"인천광역시 남구 경인남길30번길 65",4,126.6581131,37.45171195,1,2019-09-01,NULL,NULL,NULL,NULL
48,까스동,패스트푸드,패스트푸드,"인천광역시 남구 경인남길30번길 49",NULL,126.6571282,37.45179988,1,2019-09-01,NULL,NULL,NULL,NULL
49,후크,유흥주점,호프/맥주,"인천광역시 남구 경인남길30번길 38",NULL,126.6564729,37.45179243,1,2019-09-01,NULL,NULL,NULL,NULL
50,낙지대학떡복이과,별식/퓨전요리,죽전문점,"인천광역시 남구 경인남길30번길 53",NULL,126.6573666,37.45173952,1,2019-09-01,NULL,NULL,NULL,NULL
51,다림,닭/오리요리,후라이드/양념치킨,"인천광역시 남구 인하로67번길 6-31",NULL,126.6568959,37.45151792,1,2019-09-01,NULL,NULL,NULL,NULL
